Title,Rating,Review Date,Current or Past Employee,Employee Title,Location,Recommends,Outlook,Approves of CEO,Full-Time or Part-Time,Time Employeed,Pros,Cons,Advice to Management
"""Crew""",3.0," Aug 10, 2015",Past,Crew Member,,Yes,Neutral,Neutral,Part-time,More than a year,"flexible with schedule, easy to pick up extra shifts or extra hours, can feed yourself for free","lack of management, lack of time sensibility, lack of professionalism, lack of respect","stay on top of your schedules! don't put it out the sunday before the new week. Sexual harassment is not okay, do something about it!"
"""Great Place for Starting Job""",5.0," Jul 22, 2015",Past,Anonymous Employee,,Yes,Neutral,Yes,Part-time,Less than a year,"Getting free food is always good. Pay is meh, but the hours are good. Management is nice.","Pay is meh. Having to deal with some annoying customers. Can get really busy, so it can become stressful.","Don't have much to say. All the managers were pretty good, but there was some preference towards employees."
"""Crew member.""",5.0," Jul 26, 2015",Current,Anonymous Employee,,No,Neutral,Neutral,Part-time,Less than a year,"Lots of benefits, the interview process is really easy.","There's no anything bad to say about working there, i guess everything depends on the manager you have.",
"""Cashier""",4.0," Jul 24, 2015",Past,Lead Cashier,"New York, NY",Yes,Yes,Neutral,,More than 10 years,"One con is Free food, 50% percent off all beverages, flexibility, and ability to joke around. Encounter many different personalities.","The cons are that you wont always enjoy who you work with, but thats every job.","Communicate with each other, be on the same page"
"""It's ok""",4.0," Jul 24, 2015",Current,Kitchen Manager,,Yes,Yes,Yes,Full-time,More than 5 years,The pay is pretty much ok,Work to hard for the amount of money you make,
"""Great hours, great work""",4.0," Jul 25, 2015",Past,Crew Member,"Phoenix, AZ",No,Neutral,Yes,Full-time,,"If you're willing to put in a ton of work you could become KM in less than a year, more work more promotions! If you train and teach people that really helps too. Show initiative and you'll get good hours.","You have to be ""on"" all the time. Literally one of the 13 Characteristics is to be""infectiously enthusiastic"" and that can be draining. The whole ""chipotle culture"" aspect takes away from the actual work. People forget we're just running a restaurant not trying to win a beauty pageant.",Management differs from store to store. It really helps if you have someone who's passionate about it.
"""Meh""",3.0," Aug 8, 2015",Past,Anonymous Employee,,Yes,Neutral,Yes,Part-time,Less than a year,Company has a good value system,Crew members do not follow value system because some managers do no enforce it. Managers get pushed to be promoted before they're ready. Lots of cocky attitudes anymore.,Do your job and commit to your value system. You're not being paid to let your employees walk all over you. Don't pick favorites because you party with them
"""Great Company, but this store Has issues""",3.0," Aug 6, 2015",Past,Crew Member,"Bowling Green, OH",Yes,Yes,Yes,Full-time,Less than a year,"Free meals per shift, team environment","High turn over, low pay, high expectations with minimal training.",Train your employees better and make sure the scheduling isn't always changin every 5 minutes.
"""Great Opportunity, Definitely has Growing Pains""",3.0," Aug 6, 2015",Past,Apprentice General Manager,"Oakland, CA",Yes,Neutral,Yes,Full-time,More than 5 years,"Amazing opportunity for advancement, and great benefits for all employees. The education received about food preparation was invaluable and very interesting. The fact that you are encouraged to make decisions to actually manage your environment and take ownership is fantastic as a manager and they don't try to overly micromanage which allows you to fit well into any environment.","Because of their fast growth as a company there is a lot of re-arranging of upper management jurisdiction over locations, this can be very detrimental when attempting to build a consistent environment in which to train your employees and can result in upper management exhibiting a disconnect from their General and Apprentice General Managers and not effectively coaching behaviors in restaurants.","General and Apprentice General Managers, don't be afraid to tell your Patch Managers when they are being disconnected with their restaurants and when they are being inconsistent. They have been rushed into their positions in many cases because of very quick growth of the company and have a lot to learn and the best place to learn to effectively manage is in the restaurants themselves and from the people who spend the most hours in the restaurants."
"""Cashier/ Customer Service Rep""",5.0," Jul 23, 2015",Past,"Front Desk Supervisor/Lead Secretary, and Medical Biller","Walpole, MA",No,Yes,Neutral,Full-time,More than 3 years,"Learned how to use most POS systems. Processed all orders in an above timely manner. Refilled all necessary items ie: napkins, ice, utensils, hot sauce, soft drink mix, and make sure the front of house was spotless.",Management was very preferential to certain employees. Advancement happens to slow.,To stop purpose dirtying the floor after an employee stays two hours past her shift to santize the front of house. It was actually caught on camera.
"""Chipotle Pros and Cons""",4.0," Jul 22, 2015",Current,Anonymous Employee,,Yes,Yes,Yes,Part-time,More than a year,"Good culture, great ingredients, quick promotions.","Everyone is overworked, poor availability, little vacation benefits.",
"""Burritoful!!""",5.0," Jul 21, 2015",Current,Crew Member,"Fallbrook, CA",Yes,Yes,Neutral,Part-time,Less than a year,"Great work ethic and positive training. Lots of movement up in company. Free meals, 50% off take away meals. Benefits after 2 weeks!",10 minute breaks is not enough time to eat on break.,"My Chipotle is amazing, but other locations, just keep that amazing enthusiasm as there was opening a new store."
"""Empowerment issues.""",2.0," Aug 5, 2015",Current,General Manager,"Chicago, IL",No,Yes,Neutral,Full-time,More than 3 years,Great food and great company vision,Over worked - underpaid<br>Broken Systems<br>Old programs for a young company<br>Field leaders and operations disconnect.<br>Culture and operations have a disconnect<br>NO WORK LIFE BALANCE -Chipotle is life in their business.,"Upper Management just recite definitions and feel their regurgitated concepts are law. They themselves preach being challenged and trying to build a positive people culture, but they themselves are not living their own concepts and ideas. They don't support their teams the way they should and don't know how to manage their own time with multi-units."
